	player	hardWin	clayWin	grassWin	hardLose	clayLose	grassLose
913	Gambill J.M.	0.989247311827957	0.8333333333333334	0.9166666666666666	0.010752688172043012	0.16666666666666666	0.08333333333333333
914	Lopez M.	0.6666666666666666	0.9523809523809523	0.6666666666666666	0.3333333333333333	0.047619047619047616	0.3333333333333333
915	Harboe P.	0.5	0.5	0.5	0.5	0.5	0.5
916	Tipsarevic J.	0.9922480620155039	0.975609756097561	0.96875	0.007751937984496124	0.024390243902439025	0.03125
917	Henry R.	0.5	0.5	0.5	0.5	0.5	0.5
918	Kim K	0.5	0.5	0.5	0.5	0.5	0.5
919	Nedunchezhiyan J.	0.5	0.5	0.5	0.5	0.5	0.5
920	Fornell M.	0.5	0.5	0.5	0.5	0.5	0.5
921	Calleri A.	0.9830508474576272	0.9914529914529915	0.8333333333333334	0.01694915254237288	0.008547008547008548	0.16666666666666666
922	Tomashevich D.	0.5	0.5	0.5	0.5	0.5	0.5
923	Balazs A.	0.5	0.8333333333333334	0.5	0.5	0.16666666666666666	0.5
924	De Schepper K.	0.9	0.8571428571428571	0.9090909090909091	0.1	0.14285714285714285	0.09090909090909091
925	Puetz T.	0.5	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333
926	Jarry N.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
927	Patino L.	0.5	0.5	0.5	0.5	0.5	0.5
928	Fritz T.	0.9333333333333333	0.6666666666666666	0.75	0.06666666666666667	0.3333333333333333	0.25
929	Zhang Ze	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
930	Burniol G.	0.5	0.5	0.5	0.5	0.5	0.5
931	Fish M.	0.995049504950495	0.9545454545454546	0.9761904761904762	0.0049504950495049506	0.045454545454545456	0.023809523809523808
932	Quintero M.	0.5	0.5	0.5	0.5	0.5	0.5
933	Bohane A.	0.5	0.5	0.5	0.5	0.5	0.5
934	Kunitsyn I.	0.972972972972973	0.8888888888888888	0.9166666666666666	0.02702702702702703	0.1111111111111111	0.08333333333333333
935	Lopes H.	0.5	0.5	0.5	0.5	0.5	0.5
936	Lacko L.	0.9795918367346939	0.75	0.9230769230769231	0.02040816326530612	0.25	0.07692307692307693
937	Ginepri R.	0.9921875	0.9411764705882353	0.9583333333333334	0.0078125	0.058823529411764705	0.041666666666666664
938	Nijaki R.	0.5	0.5	0.5	0.5	0.5	0.5
939	Guzman J.	0.5	0.5	0.5	0.5	0.5	0.5
940	Hossam K.	0.5	0.5	0.5	0.5	0.5	0.5
941	Marach O.	0.8	0.9285714285714286	0.5	0.2	0.07142857142857142	0.5
942	Ghedin R.	0.5	0.5	0.5	0.5	0.5	0.5
943	Myneni S.	0.5	0.5	0.5	0.5	0.5	0.5
944	Giraldo S.	0.9818181818181818	0.9861111111111112	0.9333333333333333	0.01818181818181818	0.013888888888888888	0.06666666666666667
945	Stoltenberg J.	0.875	0.5	0.6666666666666666	0.125	0.5	0.3333333333333333
946	Ellwood B.	0.5	0.5	0.5	0.5	0.5	0.5
947	Veic A.	0.8	0.8571428571428571	0.5	0.2	0.14285714285714285	0.5
948	Benneteau A.	0.5	0.5	0.5	0.5	0.5	0.5
949	O'Brien A.	0.5	0.5	0.5	0.5	0.5	0.5
950	Iwabuchi S.	0.8	0.5	0.5	0.2	0.5	0.5
951	Andujar P.	0.967741935483871	0.9885057471264368	0.75	0.03225806451612903	0.011494252873563218	0.25
952	Reid M.	0.5	0.5	0.5	0.5	0.5	0.5
953	Nieminen J.	0.9953488372093023	0.99	0.9615384615384616	0.004651162790697674	0.01	0.038461538461538464
954	Schwank E.	0.8888888888888888	0.9642857142857143	0.6666666666666666	0.1111111111111111	0.03571428571428571	0.3333333333333333
955	Gaudenzi A.	0.8571428571428571	0.9615384615384616	0.5	0.14285714285714285	0.038461538461538464	0.5
956	Kohlmann M.	0.8	0.875	0.8	0.2	0.125	0.2
957	Sanchez M.	0.5	0.5	0.5	0.5	0.5	0.5
958	Wassen R.	0.6666666666666666	0.6666666666666666	0.5	0.3333333333333333	0.3333333333333333	0.5
959	Nadal R.	0.9969230769230769	0.9969788519637462	0.9833333333333333	0.003076923076923077	0.0030211480362537764	0.016666666666666666
960	Lukaev R.	0.5	0.5	0.5	0.5	0.5	0.5
961	Al-Ghareeb M.	0.5	0.5	0.5	0.5	0.5	0.5
962	Coric B.	0.967741935483871	0.9545454545454546	0.75	0.03225806451612903	0.045454545454545456	0.25
963	Alvarez E.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
964	Ali Mutawa J.M.	0.5	0.5	0.5	0.5	0.5	0.5
965	Molteni A.	0.5	0.5	0.5	0.5	0.5	0.5
966	Summerer T.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
967	Dosedel S.	0.6666666666666666	0.8	0.6666666666666666	0.3333333333333333	0.2	0.3333333333333333
968	Jones G.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
969	Pretzsch A.	0.8333333333333334	0.5	0.5	0.16666666666666666	0.5	0.5
970	Andersen J.F.	0.5	0.75	0.5	0.5	0.25	0.5
971	Larkham T.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
972	Kubot L.	0.9696969696969697	0.967741935483871	0.9333333333333333	0.030303030303030304	0.03225806451612903	0.06666666666666667
973	Hirigoyen I.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
974	Lopez-Jaen M.A.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
975	Krstin P.	0.5	0.5	0.5	0.5	0.5	0.5
976	Wang Y.Jr.	0.5	0.5	0.5	0.5	0.5	0.5
977	Martin D.	0.5	0.5	0.5	0.5	0.5	0.5
978	Uchiyama Y.	0.5	0.5	0.5	0.5	0.5	0.5
979	Capdeville P.	0.95	0.8888888888888888	0.75	0.05	0.1111111111111111	0.25
980	Cacic N.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
981	Berdych T.	0.9968944099378882	0.991304347826087	0.9824561403508771	0.003105590062111801	0.008695652173913044	0.017543859649122806
982	Dimitrov G.	0.9921259842519685	0.9795918367346939	0.9655172413793104	0.007874015748031496	0.02040816326530612	0.034482758620689655
983	Sousa P.	0.5	0.5	0.5	0.5	0.5	0.5
984	Cilic M.	0.9949238578680203	0.9866666666666667	0.9782608695652174	0.005076142131979695	0.013333333333333334	0.021739130434782608
985	Ahouda A.	0.5	0.5	0.5	0.5	0.5	0.5
986	Ramos-Vinolas A.	0.9545454545454546	0.9705882352941176	0.8	0.045454545454545456	0.029411764705882353	0.2
987	Larsson M.	0.9230769230769231	0.8	0.8571428571428571	0.07692307692307693	0.2	0.14285714285714285
988	Baghdatis M.	0.994535519125683	0.96875	0.9787234042553191	0.00546448087431694	0.03125	0.02127659574468085
989	Pless K.	0.9642857142857143	0.9	0.8333333333333334	0.03571428571428571	0.1	0.16666666666666666
990	Whittington A.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
991	Baccanello P.	0.6666666666666666	0.5	0.6666666666666666	0.3333333333333333	0.5	0.3333333333333333
992	Singh N.	0.5	0.5	0.5	0.5	0.5	0.5
993	Llodra M.	0.9895833333333334	0.9545454545454546	0.9743589743589743	0.010416666666666666	0.045454545454545456	0.02564102564102564
994	Rieschick S.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
995	Kohlschreiber P..	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
996	Udomchoke D.	0.9285714285714286	0.5	0.8571428571428571	0.07142857142857142	0.5	0.14285714285714285
997	Rosset M.	0.9166666666666666	0.9	0.8333333333333334	0.08333333333333333	0.1	0.16666666666666666
998	Barrere G.	0.5	0.5	0.5	0.5	0.5	0.5
999	Trongcharoenchaikul W.	0.5	0.5	0.5	0.5	0.5	0.5
1000	Youzhny M.	0.9952380952380953	0.991304347826087	0.9824561403508771	0.004761904761904762	0.008695652173913044	0.017543859649122806
1001	Gerasimov E.	0.5	0.5	0.5	0.5	0.5	0.5
1002	Kirillov E.	0.5	0.5	0.5	0.5	0.5	0.5
1003	Djokovic M.	0.5	0.5	0.5	0.5	0.5	0.5
1004	Chung H.	0.9166666666666666	0.8333333333333334	0.6666666666666666	0.08333333333333333	0.16666666666666666	0.3333333333333333
1005	Wessels P.	0.9285714285714286	0.75	0.9090909090909091	0.07142857142857142	0.25	0.09090909090909091
1006	Gamonal H.	0.5	0.75	0.5	0.5	0.25	0.5
1007	Gross O.	0.5	0.8	0.5	0.5	0.2	0.5
1008	Boutter J.	0.9375	0.9655172413793104	0.5	0.0625	0.034482758620689655	0.5
1009	Hantschek M.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
1010	Herbert P-H.	0.5	0.5	0.5	0.5	0.5	0.5
1011	Shyla Y.	0.5	0.5	0.5	0.5	0.5	0.5
1012	Ancic M.	0.989010989010989	0.9705882352941176	0.9743589743589743	0.01098901098901099	0.029411764705882353	0.02564102564102564
1013	Ram A.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
1014	Matsui T.	0.75	0.5	0.5	0.25	0.5	0.5
1015	Olaso G.	0.5	0.75	0.5	0.5	0.25	0.5
1016	Bohaboy D.	0.5	0.5	0.5	0.5	0.5	0.5
1017	Peralta J.	0.5	0.5	0.5	0.5	0.5	0.5
1018	Krajan Z.	0.6666666666666666	0.8888888888888888	0.5	0.3333333333333333	0.1111111111111111	0.5
1019	Granollers M.	0.9861111111111112	0.989010989010989	0.9090909090909091	0.013888888888888888	0.01098901098901099	0.09090909090909091
1020	Ram R.	0.96875	0.8	0.9375	0.03125	0.2	0.0625
1021	Eubanks C.	0.5	0.5	0.5	0.5	0.5	0.5
1022	Ruevski P.	0.5	0.5	0.5	0.5	0.5	0.5
1023	Herm-Zahlava J.	0.5	0.5	0.5	0.5	0.5	0.5
1024	Todero N.	0.5	0.5	0.5	0.5	0.5	0.5
1025	Elsner D.	0.5	0.8333333333333334	0.5	0.5	0.16666666666666666	0.5
1026	Koenig R.	0.5	0.5	0.5	0.5	0.5	0.5
1027	Krajicek A.	0.9230769230769231	0.5	0.6666666666666666	0.07692307692307693	0.5	0.3333333333333333
1028	Decoud S.	0.5	0.75	0.5	0.5	0.25	0.5
1029	Halys Q.	0.75	0.6666666666666666	0.5	0.25	0.3333333333333333	0.5
1030	Vlasov D.	0.5	0.5	0.5	0.5	0.5	0.5
1031	Bai Y.	0.75	0.5	0.5	0.25	0.5	0.5
1032	Phau B.	0.9795918367346939	0.9473684210526315	0.6666666666666666	0.02040816326530612	0.05263157894736842	0.3333333333333333
1033	Moser F.	0.5	0.5	0.5	0.5	0.5	0.5
1034	Zopp J.	0.8571428571428571	0.8571428571428571	0.5	0.14285714285714285	0.14285714285714285	0.5
1035	Murray A.	0.9971910112359551	0.9878048780487805	0.9878048780487805	0.0028089887640449437	0.012195121951219513	0.012195121951219513
1036	Opelka R.	0.8571428571428571	0.5	0.5	0.14285714285714285	0.5	0.5
1037	Puentes G.	0.6666666666666666	0.8	0.6666666666666666	0.3333333333333333	0.2	0.3333333333333333
1038	Berrer M.	0.9827586206896551	0.9444444444444444	0.8888888888888888	0.017241379310344827	0.05555555555555555	0.1111111111111111
1039	Hanescu V.	0.975609756097561	0.9907407407407407	0.9230769230769231	0.024390243902439025	0.009259259259259259	0.07692307692307693
1040	Gimeno-Traver D.	0.9473684210526315	0.9857142857142858	0.6666666666666666	0.05263157894736842	0.014285714285714285	0.3333333333333333
1041	Zayid M. S.	0.5	0.5	0.5	0.5	0.5	0.5
1042	Prpic A.	0.5	0.5	0.5	0.5	0.5	0.5
1043	Vik R.	0.875	0.9	0.6666666666666666	0.125	0.1	0.3333333333333333
1044	Sidorenko A.	0.75	0.5	0.5	0.25	0.5	0.5
1045	Herbert P.H.	0.9	0.5	0.8333333333333334	0.1	0.5	0.16666666666666666
1046	Torebko P.	0.5	0.5	0.5	0.5	0.5	0.5
1047	Mcdonald M.	0.5	0.5	0.5	0.5	0.5	0.5
1048	Goellner M.K.	0.75	0.75	0.5	0.25	0.25	0.5
1049	Brugues-Davi A.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
1050	Lipsky S.	0.5	0.5	0.5	0.5	0.5	0.5
1051	Ayala D.	0.5	0.5	0.5	0.5	0.5	0.5
1052	Sonego L.	0.5	0.5	0.5	0.5	0.5	0.5
1053	Sun P.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
1054	Agenor R.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
1055	Bagnis F.	0.5	0.9230769230769231	0.5	0.5	0.07692307692307693	0.5
1056	Sanguinetti D.	0.9838709677419355	0.9473684210526315	0.9285714285714286	0.016129032258064516	0.05263157894736842	0.07142857142857142
1057	Bedene A.	0.9655172413793104	0.9473684210526315	0.8571428571428571	0.034482758620689655	0.05263157894736842	0.14285714285714285
1058	Harrison C.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
1059	Gomez L.	0.5	0.5	0.5	0.5	0.5	0.5
1060	Witten J.	0.5	0.5	0.5	0.5	0.5	0.5
1061	Chardy J.	0.9886363636363636	0.9846153846153847	0.9411764705882353	0.011363636363636364	0.015384615384615385	0.058823529411764705
1062	Dustov F.	0.5	0.5	0.5	0.5	0.5	0.5
